Date,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Species,Fatality,Country_value,Sex_value
2-Nov-21,Unprovoked,NEW ZEALAND,Surfing,M,26,Fingers lacerated,N,Seven gill shark,0.0,5.0,0.0
15-Oct-21,Unprovoked,AUSTRALIA,Swimming,M,34,Lacerations and puncture to left leg,N,,0.0,2.0,0.0
4-Oct-21,Unprovoked,USA,Surfing,M,25,`Left foot bitten,N,,0.0,1.0,0.0
3-Oct-21,Unprovoked,USA,Swimming,M,,Injury to lower left leg,N,,0.0,1.0,0.0
3-Oct-21,Unprovoked,USA,Surfing,M,38,Injury to posterior left thigh,N,,0.0,1.0,0.0
9-Sep-21,Unprovoked,USA,Surfing,M,!6,Minor injury to right arm,N,,0.0,1.0,0.0
5-Sep-21,Unprovoked,AUSTRALIA,Surfing,M,31,FATAL,Y,White shark,1.0,2.0,0.0
3-Sep-21,Unprovoked,BRITISH OVERSEAS TERRITORY,,M,,Wrist bitten,N,,0.0,154.0,0.0
3-Sep-21,Unprovoked,USA,"Fishing, fell in water",M,64,Severe injury to leg,N,,0.0,1.0,0.0
28-Aug-21,Unprovoked,USA,Boogie boarding,M,!!,Lacerations both sides of lower leg immediately above the ankle,N,,0.0,1.0,0.0
21-Aug-21,Unprovoked,USA,Surfing,M,41,Left ankle and foot bitten,N,Bull shark,0.0,1.0,0.0
13-Aug-21,Unprovoked,CANADA,Swimming,F,21,Thigh injured,N,,0.0,40.0,1.0
7-Aug-21,Provoked,AUSTRALIA,Harassing sharks,M,,"No Injury, jet ski bitten PROVOKED INCIDENT",N,,0.0,2.0,0.0
7-Aug-21,Unprovoked,USA,Surfing,M,35,Minor cuts to right foot and ankle,N,,0.0,1.0,0.0
7-Aug-21,Unprovoked,USA,Snorkeling,M,15,Lacerations to legs,N,,0.0,1.0,0.0
3-Aug-21,Unprovoked,USA,,M,,Lacerations to lower body,N,Blacktip shark,0.0,1.0,0.0
2-Aug-21,Unprovoked,USA,Swimming,F,12,Lacerations and puncture wounds to lower left leg,N,Blacktip shark,0.0,1.0,1.0
30-Jul-21,Provoked,USA,Fishing,M,47,Hands bitten while attempting to unhook shark               PROVOKED INCIDENT,N,,0.0,1.0,0.0
27-Jul-21,Unprovoked,USA,Standing,M,15,Lower left leg bitten,N,,0.0,1.0,0.0
27-Jul-21,Unprovoked,USA,Surfing,M,58,Lower left leg bitten,N,Blacktip shark,0.0,1.0,0.0
27-Jul-21,Provoked,AUSTRALIA,Fishing,M,34,Leg bitten when he jumped on the sharkPROVOKED INCIDENT,N,Lemon shark,0.0,2.0,0.0
26-Jul-21,Unprovoked,USA,Swimming,M,,Minor injury to calf ,N,Small shark,0.0,1.0,0.0
25-Jul-21,Unprovoked,BRAZIL,Squatting in the water,M,32,Lacerations to poster thigh and buttock,N,,0.0,7.0,0.0
23-Jul-21,Provoked,THAILAND,Moving captive shark,M,55,Lacerations to lower right leg PROVOKED INCIDENT,N,Bull shark,0.0,43.0,0.0
21-Jul-21,Unprovoked,USA,Surfing,F,,No injury,N,,0.0,1.0,1.0
21-Jul-21,,USA,,F,35,"Small laceration to ankle, shark involvement not confirmed",N,,0.0,1.0,1.0
19-Jul-21,Unprovoked,AUSTRALIA,Surfing,M,,"No injury, knocked off board by shark",N,White shark,0.0,2.0,0.0
15-Jul-21,Unprovoked,USA,Boogie boarding,M,11,Leg bitten,N,,0.0,1.0,0.0
14-Jul-21,Unprovoked,SOUTH AFRICA,Surfing,M,38,Injuries to leg and torso,N,,0.0,3.0,0.0
Reported 11-Jul-2021,Provoked,BAHAMAS,Jackass Team's publicity stunt for Discovery Channel's Shark Week 2021,M,,Lacerations to right hand  PROVOKED INCIDENT,N,,0.0,6.0,0.0
10-Jul-21,Unprovoked,USA,Playing,F,9,Right foot bitten,N,Spinner shark,0.0,1.0,1.0
10-Jul-21,Unprovoked,USA,Spearfishing,M,36,Shark involvement prior to death not confirmed,Y,,1.0,1.0,0.0
10-Jul-21,Unprovoked,BRAZIL,Wading,M,51,FATAL,Y,,1.0,7.0,0.0
5-Jul-21,Unprovoked,AUSTRALIA,Surfing,M,25,Left forearm broken & lacerated,N,White shark,0.0,2.0,0.0
4-Jul-21,Unprovoked,USA,Standing,M,8,Puncture wound to calf,N,Small shark,0.0,1.0,0.0
4-Jul-21,Provoked,USA,Spearfishing,F,19,PROVOKED INCIDENT Lacerations to right hand,N,Bull shark,0.0,1.0,1.0
3-Jul-21,Unprovoked,ECUADOR,Diving,M,31,Single bite to right thigh ,N,Galapagos shark,0.0,48.0,0.0
30-Jun-21,Unprovoked,USA,Canoeing,M,15,Hand injured,N,,0.0,1.0,0.0
28-Jun-21,Unprovoked,USA,Surfing,F,,Lacerations to thigh and calf,N,,0.0,1.0,1.0
27-Jun-21,Unprovoked,USA,Swimming,F,7,Calf bitten,N,,0.0,1.0,1.0
26-Jun-21,Unprovoked,USA,Swimming,M,38,Posterior right thigh bitten,N,White shark,0.0,1.0,0.0
25-Jun-21,Unprovoked,JORDAN,Parasailing,M,36,Foot bitten,N,,0.0,155.0,0.0
23-Jun-21,Unprovoked,AUSTRALIA,Surfing,M,25,Lacerations to calf and ankle,N,,0.0,2.0,0.0
18-Jun-21,Unprovoked,USA,Standing,M,12,Left arm bitten,N,,0.0,1.0,0.0
17-Jun-21,Unprovoked,USA,Swimming,M,14,"""superficial injuries:",N,Large shark,0.0,1.0,0.0
14-Jun-21,Unprovoked,USA,Standing,M,12,Right calf bitten,N,,0.0,1.0,0.0
14-Jun-21,Unprovoked,USA,Standing,M,71,Minor injury to right foot,N,,0.0,1.0,0.0
12-Jun-21,Provoked,ENGLAND,Fishing,M,51,Calf bitten by hooked shark PROVOKED INCIDENT,N,Tope shark,0.0,28.0,0.0
11-Jun-21,Unprovoked,AUSTRALIA,Snorkeling,M,10,Foot bitten,N,Bronze whaler shark,0.0,2.0,0.0
25-May-21,Provoked,NEW CALEDONIA,Spearfishing,M,,Presumed fatal  PROVOKED INCIDENT,Y,,1.0,10.0,0.0
23-May-21,Unprovoked,USA,Swimming,M,26,Minor injuries to foot and ankle,N,Medium shark,0.0,1.0,0.0
21-May-21,Unprovoked,AUSTRALIA,Spearfishing,M,48,Lacerations to right hand and forearm,N,,0.0,2.0,0.0
